doc_id,dis_id
86,1027
87,21
87,24
87,240
87,981
87,983
87,993
87,995
87,1010
88,34
88,35
88,44
88,45
88,47
88,52
88,768
88,775
89,68
89,69
89,71
89,72
89,73
89,914
91,75
91,84
91,156
91,689
91,912
91,913
92,108
92,110
92,112
92,113
92,737
92,746
92,747
92,748
94,14
94,21
94,24
94,25
94,426
94,1004
94,1010
94,1025
96,54
96,56
96,59
96,61
96,62
96,158
96,159
96,160
96,964
96,966
100,21
100,240
100,1010
101,14
101,17
101,21
101,24
101,135
101,136
101,137
101,138
101,198
101,240
101,1003
102,61
102,62
102,135
102,137
102,138
102,160
102,204
102,240
102,267
102,956
102,966
104,739
104,756
105,737
106,108
106,110
106,112
106,747
106,748
107,165
107,951
108,34
108,91
108,115
108,123
108,236
108,1100
108,1124
109,21
109,24
109,25
109,993
109,995
109,1009
109,1010
110,13
110,15
110,21
110,24
110,25
110,532
110,985
110,991
110,1004
110,1009
110,1010
110,1025
111,110
111,738
111,739
111,822
112,56
112,59
112,60
112,61
112,62
112,63
112,135
112,137
112,138
112,158
112,159
112,160
112,240
112,267
112,532
112,956
112,963
112,967
112,970
113,14
113,21
113,24
113,135
113,137
113,138
113,267
113,364
113,1010
114,13
114,21
114,426
114,981
114,982
114,983
114,1003
114,1004
114,1018
114,1019
114,1021
115,110
115,738
115,739
115,746
115,822
115,1130
116,71
116,78
116,223
116,533
116,538
116,573
116,689
116,910
116,1075
116,1116
117,60
117,61
117,62
117,63
117,159
117,160
117,532
117,963
117,966
117,967
117,970
117,972
117,973
118,83
118,648
118,910
118,914
119,34
119,41
119,44
119,45
119,115
119,139
119,140
119,141
119,170
119,709
119,710
119,768
119,774
119,1091
122,65
122,68
122,69
122,73
122,888
122,889
122,904
122,920
122,1063
122,1079
122,1080
122,1081
122,1082
122,1083
122,1084
123,65
123,72
123,73
123,890
123,904
123,1061
123,1062
123,1063
123,1076
123,1079
123,1080
123,1081
123,1082
123,1083
123,1084
124,65
124,68
124,69
124,72
124,73
124,904
124,924
124,941
124,1078
124,1079
124,1080
124,1081
124,1082
124,1083
124,1084
125,155
125,156
125,492
125,494
125,531
125,532
128,108
128,110
128,112
128,113
128,745
128,747
128,748
130,108
130,110
130,112
130,113
132,108
132,110
132,112
132,113
132,745
132,746
134,108
134,110
134,112
134,113
134,745
134,747
134,748
136,108
136,110
136,112
136,737
136,739
136,741
136,742
136,745
136,746
136,764
138,108
138,110
138,112
138,113
138,745
140,14
140,15
140,21
140,135
140,137
140,138
140,240
140,267
140,364
140,426
140,991
140,1009
140,1010
140,1011
140,1016
142,15
142,75
142,484
142,485
142,486
142,487
142,488
142,489
142,491
142,493
142,494
142,495
142,496
142,497
142,498
142,501
142,502
142,517
142,524
142,527
142,529
142,1103
144,13
144,59
144,162
144,163
144,165
144,402
144,404
144,406
144,410
144,411
144,412
144,413
144,414
144,421
144,425
144,427
