id,body_id,symptom_id
1327,84,292
1328,54,1701
1329,16,1702
1330,84,1702
1331,16,1703
1332,26,1703
1333,52,1703
1334,60,1703
1335,64,1703
1336,66,1703
1337,68,1703
1338,16,1704
1339,48,1388
1340,50,1388
1341,20,1076
1342,90,1660
1343,66,1660
1344,94,1660
1345,90,224
1346,60,292
1347,92,292
1348,100,758
1349,54,756
1350,20,786
1351,20,788
1352,98,1705
1354,26,684
1356,54,306
1357,54,1574
1358,16,34
1359,24,34
1360,62,34
1361,98,538
1364,98,534
1365,98,1706
1366,98,1056
1367,78,350
1368,88,1707
1369,16,1154
1370,20,1566
1371,92,492
1372,24,1136
1373,26,1366
1374,70,1464
1375,60,1148
1376,88,466
1377,88,510
1378,56,468
1379,62,468
1380,68,1708
1381,68,1709
1382,56,464
1383,88,464
1384,98,1710
1385,98,1711
1386,18,1236
1387,74,1472
1388,74,1712
1389,88,1713
1390,88,1714
1391,74,288
1392,52,428
1393,52,730
1394,52,1084
1395,52,432
1396,52,1701
1397,52,756
1398,52,430
1399,52,186
1400,52,872
1401,52,326
1402,52,754
1403,52,434
1404,52,420
1405,52,418
1406,52,426
1407,18,146
1408,20,146
1409,54,146
1410,74,1715
1411,74,1716
1412,52,780
1413,54,780
1414,74,1717
1415,74,1632
1416,18,1718
1417,18,1719
1418,18,138
1419,20,650
1420,20,1382
1421,18,1720
1422,20,1720
1423,24,1720
1424,32,1720
1425,36,1720
1426,38,1720
1427,40,1720
1428,42,1720
1429,44,1720
1430,46,1720
1431,60,1720
1432,62,1720
1433,64,1720
1434,66,1720
1435,68,1720
1436,70,1720
1437,86,1720
1438,88,1720
1439,92,1720
1440,96,1720
1441,98,1720
1442,100,1720
1443,102,1720
1444,2,1720
1445,16,1720
1446,22,1720
1447,56,1720
1448,82,1641
1449,80,350
1450,82,350
1451,24,1432
1452,26,1432
1453,32,1432
1454,34,1432
1455,40,1432
1456,48,1432
1457,50,1432
1458,60,1432
1459,64,1432
1460,66,1432
1462,88,1432
1463,92,1432
1464,100,1432
1465,102,1432
1466,20,874
1467,74,1474
1468,46,1721
1469,70,1721
1470,2,1474
1471,16,1474
1473,24,1474
1474,26,1474
1475,28,1474
1476,30,1474
1477,32,1474
1478,34,1474
1479,38,1474
1480,40,1474
1481,42,1474
1482,44,1474
1483,46,1474
1484,48,1474
1485,50,1474
1486,52,1474
1487,56,1474
1488,58,1474
1489,60,1474
1490,62,1474
1491,64,1474
1492,66,1474
1493,68,1474
1494,70,1474
1495,78,1474
1497,86,1474
1498,88,1474
1499,90,1474
1500,92,1474
1501,96,1474
1502,100,1474
1503,102,1474
1504,16,1594
1505,24,1594
1506,26,1594
1507,28,1594
1508,30,1594
1509,32,1594
1510,34,1594
1511,38,1594
1512,40,1594
1513,42,1594
1514,44,1594
1515,46,1594
1516,48,1594
1517,50,1594
1518,52,1594
1519,56,1594
1520,58,1594
1521,60,1594
1522,62,1594
1523,64,1594
1524,66,1594
1525,68,1594
1526,70,1594
1527,78,1594
1529,86,1594
1530,88,1594
1531,90,1594
1532,92,1594
1533,96,1594
1534,100,1594
1535,102,1594
1536,2,796
1537,16,796
1538,22,796
1539,24,796
1540,26,796
1541,28,796
1542,30,796
1543,32,796
1544,34,796
1545,38,796
1546,40,796
1547,42,796
1548,44,796
1549,46,796
1550,48,796
1551,50,796
1552,52,796
1553,54,796
1554,56,796
1555,58,796
1556,60,796
1557,62,796
1558,64,796
1559,66,796
1560,68,796
1561,70,796
1562,78,796
1563,84,796
1564,86,796
1565,88,796
1566,90,796
1567,92,796
1568,96,796
1569,100,796
1570,102,796
1572,56,182
1573,60,182
1574,64,182
1575,78,182
1576,88,182
1577,92,182
1578,62,182
1579,90,182
1580,54,1631
1581,86,1264
1582,100,1264
1583,16,1722
1584,98,1722
1585,50,1723
1586,18,634
1587,2,1468
1588,18,624
1589,98,1724
1590,44,12
1591,68,12
1592,16,562
1593,98,562
1595,20,1725
1596,18,636
1597,20,1726
1598,2,138
1599,54,1727
1600,18,1212
1601,98,1728
1602,50,1729
1603,74,798
1604,74,1730
1605,38,1731
1606,44,1731
1607,62,1731
1608,68,1731
1609,74,1731
1610,94,1731
1611,18,1300
1612,74,1732
1613,18,1733
1614,74,1734
1615,46,8
1616,70,8
1617,20,660
1618,98,370
1619,18,1735
1620,16,1422
1622,20,858
1623,98,858
1624,2,1736
1626,98,1736
1627,20,938
1628,54,240
1629,98,240
1630,20,800
1631,54,800
1632,88,800
1633,78,532
1634,18,1667
1635,32,510
1636,48,356
1637,54,1728
1638,22,1737
1639,38,1737
1640,46,1737
1641,62,1737
1642,66,1737
1643,68,1737
1644,70,1737
1645,74,1737
1646,90,1737
1647,20,1738
1648,20,1739
1649,54,1740
1650,54,1741
1651,52,1741
1652,44,1742
1653,98,1743
1654,88,1744
1655,54,1388
1656,22,1745
1657,2,1746
1658,26,1746
1659,98,1746
1660,2,1747
1661,20,1748
1662,16,1749
